context,answer
من هو طيباريوس الذي يشير إليه اسم بحيرة طبرية؟,قائد جيش روماني طبريا
ما هو صندوق البنية التحتية الوطني؟,أحد الصناديق والبنوك التنموية في السعودية، التابع لصندوق التنمية الوطني
من هو المالك الرئيسي لصندوق البنية التحتية الوطني؟,يعد واحداً من مؤسسات الإقراض المتخصصة الحكومية في المملكة
ما هي القطاعات الحيوية التي يتم دعمها من خلال صندوق البنية التحتية الوطني؟,كالنقل والمياه والطاقة والصحة والتعليم والاتصالات والبنية التحتية الرقمية وغيرها مما سينعكس إيجاباً على تنمية الاقتصاد الوطني ويعزز من جودة حياة الفرد والمجتمع.
كم هو إجمالي الاستثمار المخطط لصندوق البنية التحتية الوطني على مدى العشر سنوات المقبلة؟,يعتزم الصندوق دعم مشروعات بقيمة إجمالية تصل إلى 200 مليار ريال (53 مليار دولار) على مدى العشر سنوات المقبلة، مما سيسهم في تنمية الناتج المحلي الإجمالي وتوفير فرص للعمل
كيف يعتزم صندوق البنية التحتية الوطني دعم مشروعات القطاع الخاص؟,كما يهدف الصندوق للإسهام في تطوير القطاع المالي عبر إيجاد حلول بديلة لتمويل مشروعات البنية التحتية وتشجيع القطاع الخاص للاستثمار بهذه المشروعات
ما هو الدور المتوقع للصندوق في تطوير القطاع المالي؟,سيكون للصندوق دور تكاملي مع المركز الوطني للتخصيص من خلال تمويل مشروعات البنية التحتية التي سيتم تخصيصها أو طرحها عبر الشراكة بين القطاعين العام والخاص
ما هو مركز لعب إسماعيل باراغان في كرة القدم؟,مركز الدفاع
في أي تاريخ ولد إسماعيل باراغان؟,ولد في 6 فبراير 1986
في أي مدينة إسبانية وُلد إسماعيل باراغان؟,في إشبيلية
مع أي فرق لعب إسماعيل باراغان في مسيرته الرياضية؟,نادي خيريث
ما هو عنوان الفيلم الوثائقي الذي تم إنتاجه في القاهرة عام 2021؟,فيلم تسجيلي مصري
"من هي المخرجة التي أخرجت الفيلم الوثائقي ""من القاهرة""؟",هالة جلال
"ما هو موضوع الفيلم الوثائقي ""من القاهرة""؟",يستعرض مدينة القاهرة
"ما هي مدة الفيلم الوثائقي ""من القاهرة""؟",ساعة وخمس دقائق
"من هي ""هبة"" وما هو دورها في الفيلم؟",المصورة الصحفية والفنانة والأم العزباء
"من هي ""آية"" وما هي قصتها في الفيلم؟",الشابة التي فقدت والديها في سن مبكرة
أين تم عرض الفيلم لأول مرة وفي أي تاريخ؟,28 نوفمبر 2021
ما هي الجائزة التي حصل عليها الفيلم في مهرجان القاهرة السينمائي الدولي 2021؟,مهرجان روما السينمائي 2021
من هو دو دو؟,أحد الدعاة البارزين الصينيين (朦胧诗). حصل دو دو على جائزة نيوستاد الدولية للأدب لعام 2010. الجوائز
ما هي الشخصية التي يعتبر دو دو اسمًا مستعارًا لها؟,الصيني المعاصر لي شيزنغ
ما هي الحقبة الزمنية التي ولد فيها دو دو؟,(مواليد 1951)
ما هي الجائزة التي حصل عليها دو دو في عام 2010؟,2010 بجائزة نيوستاد الدولية للأدب
ما هي اللجنة التي اختارت دو دو كفائز بجائزة نيوستاد الدولية للأدب؟,لجنة تحكيم تمثل تسع دول
ما هي قيمة جائزة نيوستاد الدولية للأدب التي حصل عليها دو دو؟,50000 دولار
من هو المؤلف والأكاديمي الذي قام بترجمة قصائد دو دو إلى اللغة الإنجليزية؟,غريغوري بي لي
ما هو عنوان الكتاب الذي كتبه المؤلف والأكاديمي غريغوري بي حول أعمال دو دو؟,عقد الصين المفقود
من هو دوغلاس مينيرو ؟,لاعب كرة قدم أوروغواياني
ما هو مركز لعبه في كرة القدم؟,الوسط
متى وحيث ولد دوغلاس مينيرو؟,في 11 فبراير 1993
في أي بلد بدأ دوغلاس مينيرو مسيرته الرياضية؟,في البرازيل
ما هي الفرق التي لعب معها دوغلاس مينيرو خلال مسيرته؟,لعب مع أتيناس دي سان كارولس.
من هو توم برايتون؟,لاعب كرة قدم بريطاني
ما هو مركز اللاعب توم برايتون؟,الهجوم
متي ولد توم برايتون؟,28 مارس 1984
أين ولد توم برايتون؟,المملكة المتحدة
ما هي الأندية التي لعب معها توم برايتون؟,سكونثورب يونايتد وكوين أوف ساوث ونادي دندي ونادي رينجرز ونادي سانت ميرين ونادي ستيرلينغ ألبيون ونادي كلايد ونادي ميلوول
ما هو المنتخب الذي شارك فيه توم برايتون؟,اسكتلندا تحت 21 سنة لكرة القدم
كم بلغ عدد أعضاء هيئة التدريس؟,29 أستاذًا و160 أستاذًا مساعدًا و150 مدرسًا
متى تأسست جامعة ولاية بيلاروسيا؟,30 أكتوبر 1921
ما هي الكليات الأولى التي تأسست في جامعة بيلاروسيا؟,ثلاث كليات (عمال، وطب، وعلوم إنسانية)
متى بدأت جامعة بيلاروسيا بتقديم برامج الدراسات العليا؟,عام 1927
متى عادت الجامعة إلى مينسك بعد الحرب؟,عام 1944
من كان عميدًا لجامعة ولاية بيلاروسيا في عام 1957؟,عالم التحليل الطيفي البارز أنطون سيانكا
كم عدد الطلاب الجامعيين الذين التحقوا بالجامعة؟,1337 طالبًا جامعيًا
كم عدد طلاب الدراسات العليا الذين التحقوا بالجامعة؟,60 طالب
من هو قيس جيلالي وما هي مجالات اهتمامه الفنية؟,مصور جزائري
متى وأين وُلد قيس جيلالي؟,ولد يوم 2 ديسمبر 1961 في حسين داي، القبة، الجزائر
هل كان قيس جيلالي مشاركًا في أحد المهرجانات الفنية؟,خلال مهرجان عموم أفريقيا لعام 2009
